vin,sellingprice
1g6dp567450124779,5131.129817547086
1gtw7fca7e1902207,20072.42703202407
jn8az1mw6dw303497,21787.09782569122
2g1wf5e34d1160703,9050.208821914168
1n6aa0ec3dn301209,21130.25121815585
wvwvd63b93e175638,2534.6696719558295
5npeb4ac4dh809686,12382.280959455256
1fm5k7b97dgb16454,14267.767543979715
jn1cv6ar5bm411441,17109.464118450513
3gnfc16j77g158033,8724.174369538456
2g1wb5e30d1140332,13280.929278745858
jf2sjadc1fh417932,23882.025329322343
1fmcu0f75eue15137,7300.749711871521
jn8az18w29w128991,12106.652992124344
3fadp4ejxcm158293,5741.023058768906
1fahp2e96dg230937,15825.417871124151
knaft4a24b5326931,6309.30440988898
wbaeb5c57ac225968,35640.803717791336
1gndt13sx62216518,5133.595134410893
3gcukrec4eg454516,27819.93401081881
kmhgc4ddxcu168540,16159.63452699612
2gnfleek4c6221421,12623.319144628855
3gnda23d06s523147,7136.860004938145
ja32u1fu0du008397,9353.936319705503
1fbne3bl1eda46070,19537.406080987
2b8gp54l01r117477,945.106761460971
1fadp3f28el323070,12514.553388165446
1g3nl52f32c104253,1653.763731573892
yv4992dz6a2034805,11686.732569533477
1gmdv33l15d274975,4369.915062289709
3fahp0ha5cr314457,11902.765605937479
kndjp3a5xe7072298,14869.724198256794
jh4cu2f49cc003441,18334.034932447656
1g2zm177284122405,6578.359711062953
1hgcp2f38ba122870,13172.356983075952
1n4aa5ap0bc847988,16925.811931316475
jt2bf28kx10337262,2613.04271220983
2gtek13v961325160,8822.713741949821
1n4aa5ap7ac811245,15602.369130237734
1fadp3k25el151313,11844.058944728016
4t1bf1fk9eu774829,15904.991261758203
waugfafc2en098654,33041.66893110271
3fa6p0hr2dr238002,11722.44319966192
3fahp0ja5cr276738,9686.323468664456
2g1fa1e30d9157807,15820.072830826522
2t3bfrev4dw038526,16807.05654715439
5yfbu4ee8dp189095,12142.232519958205
yv1sz59h741164165,4618.188198185195
1hgcr2f84da020569,16388.94174837592
1c4njcba3fd124498,17312.68271738532
1n4aa51e09c834554,8747.89875178126
1fmfu17525la35873,6590.85290419846
3vw2k7aj6dm209150,10112.563877544842
5j6rm3h7xdl004568,21538.58940623893
waufgafb8an026867,20921.277501248842
3fahp0ha0cr307061,12937.905302145151
1lnhm87a82y644589,537.7217808838614
2hkrl18022h576543,2329.0527884963576
2t1burhe2ec210372,14105.845613734438
nm0ge9f77e1151554,23208.69265399203
5xxgr4a66dg133932,17352.85588186887
5j6re48348l033196,6534.466110358295
1gnlvfed5aj252374,12634.541725593343
1ftfw1e69dfd71401,33811.20569576654
kmhdh4ae8du795370,8488.477855768491
1n4al2ap3cn408119,12434.624640700698
waugn74f37n041255,19796.513980711607
5xykt3a63eg479116,15682.330140134643
4t1bf3ek2au532729,9483.192840663207
knafx4a62e5225883,11553.903087209188
jnkcv51e63m329092,4565.185849498561
jn1by1ar2cm394735,26625.780539082953
1j4fa59s0yp723644,4258.918240745279
1fahp3f28cl166154,8627.279857239253
jtebu4bf2bk113263,24388.01610287653
2c4rc1gg7er180355,22520.05481832829
2hges16374h588764,2831.451022861964
wddgf81x78f169485,17087.66257896111
2c4rdgcg3er388917,16516.191187330463
1n4al2ap5cn424564,11286.650481651168
1ftfw1et8cfb48321,25850.801054261035
3fa6p0h71er259567,16687.244513181908
1c3cdzab7dn610562,9508.056097085871
1c6rd7ft7cs204333,14789.431198254797
5npeb4ac3ch290449,12471.275711135864
1ftfw1ef3bfc35956,25890.763658273114
jf1znaa10d1719373,17524.06033066827
2c4rdgegxer431226,19180.19832024216
1n4al3ap9ec105740,13281.051786014092
wbxpa73464wc36440,2686.2862940283376
yv440mdb2f2610299,30780.371097828487
2c3ccakt9eh306087,25140.44147970161
2d4fv47tx6h156976,1814.8074274343453
1fbss3bl5edb01101,23820.967220873037
1ftww31p86ec33609,16000.040315304379
1g6dw677x50225462,4211.665182086561
1ftfw1r69dfb74948,48749.30856302238
1fahp2e82eg107578,18765.923574926917
jn1cv6ek3cm422386,21236.627819697394
3fa6p0h7xdr271747,13785.341588597275
1g6dw677550216409,5026.393621642057
2gkaluek7c6276284,19015.274640533993
4t4be46k09r098027,4964.319568533509
1ft8w3dt0deb21420,41692.96213071742
knafe122845051705,2893.020134887356
1g1pe5sb9e7114453,12660.430467830389
3c4pddbg6ct222361,8008.35596514069
km8jn72d05u127017,4319.91075289189
5tfhw5f13cx249936,22588.806119375353
1g1pc5sb7d7144958,7162.078591044619
1gnwkmeg6br194783,22618.563621235495
1g1zd5eb9af288546,6752.502501064385
1j4gw48s44c336467,3760.5227499946977
2melm74w1vx603619,251.65695231117024
knafx4a67e5127187,10875.877886100909
2t1br32e14c264462,4408.626465423085
1g1zd5eu9bf201988,6227.263447427211
kndup131046562894,3095.2760168259683
2g1wf5ek1b1281581,5645.889120070539
2t2gk31u77c011844,14142.41034772639
1ftnf1cf8ekd17420,18711.113138862383
waulc68e63a233402,5235.15401798679
jthgl46f875015124,15837.660596625326
5j6rm3h53cl025176,18302.242448685654
1fahp3fnxbw188972,8198.911095389814
wbabd33424jy97817,4472.3516530990055
5uxfe83529l170811,22453.324186507183
jtdktud32ed584445,11397.838570540407
1g8aj55f77z187488,4593.8535114530205
2c4rdgcg0cr204451,10766.600478525686
1n4aa5apxec438000,18817.145340317446
19uua9f55ca002462,19578.422711494808
1ftne24w67da44976,2784.4386370275133
jn1cv6el0am150112,13892.958862781854
1fahp3n26cl476501,8557.288849174323
jn8af5mv5dt210835,14424.684079021756
1gnsckkc8fr205029,49393.21745769135
wddgf56x08f039121,9496.103320703613
3n1cn7ap6dl876005,8575.845838387228
1n4aa5ap3cc815652,15678.567062620248
3fadp4ej1dm227597,10045.0423128047
2t3bf4dv7bw172688,13520.857954985431
1g11h5sa9df251711,13188.878356002886
3lnhl2jc4ar615582,11341.028619522429
4t1bf32k33u562748,2358.5964489686157
1d7hu18d75s323919,8515.114669163246
1b3cc4fb9an189063,5928.704484679006
1gndt13s662358557,3402.4574048396717
wddgf4hb5cr239429,20194.317847079503
km8jt3ab7cu401390,11639.114662372087
1gkev23768j263857,11661.067047378048
jthbf5c24c5176380,20798.497213227816
1hgcg165x2a027836,2101.6476427502093
